route_long_name,latitude,longitude
Krishnarajendra Market - Muninagara,,
Yeshwanthpura Market - Mukkodlu,,
Krishnarajendra Market - Gottigehalli,,
Krishnarajendra Market - Gullahatti Kaval,,
Krishnarajendra Market - Nallakkanadoddi,,
Banashankari Bus Station - Tattaguppe,,
Krishnarajendra Market - KADUJAKKASANDRA,,
Outer Ring Road Company Association - Electronic City Infosys Software Company,,
JFWTC - C V Ramanagra,,
Krishnarajendra Market - Kothnuru Kanakapura Road,,
Minaz Nagara - Shikaripalya,,
Tindlu - Kempegowda Bus Station,,
Banashankari Bus Station - Chandapura,,
Kempegowda Bus Station - Eshwara Layout,,
MCTC Bus Stand - Chandapura,,
Kempegowda Bus Station - Eshwara Layout,,
Krishnarajendra Market - Jambusavari dinne,,
Krishnarajendra Market - Avalahalli BDA Layout,,
Kempegowda Bus Station - Jambusavari dinne,,
Kempegowda Bus Station - GANDHIPURA,,
Kempegowda Bus Station - Punjab National Bank Layout,,
Kempegowda Bus Station - NAGAGONDANAHALLI,,
Krishnarajendra Market - Kothnuru Kanakapura Road,,
Kempegowda Bus Station - Attibele,,
Kempegowda Bus Station - Srinidhi Layout,,
Shivajinagar Bus Station - Vaidehi Hospital,,
Jeevan Bhimanagara Bus stand - Kothnuru Kanakapura Road,,
Kempegowda Bus Station - Vinayaka Nagara Telecome Layout,,
Shivajinagar Bus Station - NAGAGONDANAHALLI,,
Kempegowda Bus Station - Kothnuru Kanakapura Road,,
Shivajinagar Bus Station - GANDHIPURA,,
BANASHANKARI TTMC - Attibele,,
Krishnarajendra Market - Anjanapura,,
ISRO Layout - Chandapura,,
Kempegowda Bus Station - Sowdamini Kalyana Mantapa,,
Hope Form - Hope Form,,
BMT-23 - BM English School Bellahalli,,
Depot 11 - Kaval Byrasandra,,
Kempegowda Bus Station - Anjanapura,,
Krishnarajendra Market - Tulasipura,,
Bapuji Layout - Shivajinagar Bus Station,,
Shivajinagar Bus Station - Kothnuru Kanakapura Road,,
BANASHANKARI TTMC - Electronic City 2nd Phase,,
Kempegowda Bus Station - Kothnuru Kanakapura Road,,
Bagmane Teck Park - Kamakya Talkies,,
Krishnarajendra Market - Bannerughatta Circle,,
Banashankari Bus Station - Banashankari Bus Station,,
Kempegowda Bus Station - Thalaghattapura Bus Stop,,
Banashankari Bus Station - Banashankari Bus Station,,
Krishnarajendra Market - Thippasandra,,
Krishnarajendra Market - Seegehalli,,
Kumbalgodu - Kengeri KSRTC Regional Workshop,,
Krishnarajendra Market - Bade Katte,,
Krishnarajendra Market - Byrasandra,,
Kempegowda Bus Station - Muthkuru,,
Janapriya Apartments - Yelahanka Satellite Town,,
Shivajinagar Bus Station - Muthkuru,,
Krishnarajendra Market - Naganayakana Kote,,
Krishnarajendra Market - Samethanahalli,,
Krishnarajendra Market - Totagere,,
